date,open,high,low,close,volume
2021-07-01 09:15:00+05:30,420.3,420.75,417.15,419.0,1076303.0
2021-07-01 09:20:00+05:30,419.0,419.0,417.25,418.0,708973.0
2021-07-01 09:25:00+05:30,418.0,418.15,417.4,417.7,291299.0
2021-07-01 09:30:00+05:30,417.5,418.4,417.3,418.1,416255.0
2021-07-01 09:35:00+05:30,418.15,419.4,417.95,419.05,425712.0
2021-07-01 09:40:00+05:30,419.0,419.7,418.95,419.6,275148.0
2021-07-01 09:45:00+05:30,419.55,419.9,419.1,419.9,241724.0
2021-07-01 09:50:00+05:30,419.9,420.95,419.8,420.7,471971.0
2021-07-01 09:55:00+05:30,420.7,420.75,420.1,420.4,229601.0
2021-07-01 10:00:00+05:30,420.5,420.6,419.65,419.75,280667.0
2021-07-01 10:05:00+05:30,419.65,420.2,419.65,420.0,188668.0
2021-07-01 10:10:00+05:30,419.9,420.25,419.5,420.15,195082.0
2021-07-01 10:15:00+05:30,420.15,420.25,419.65,420.05,142600.0
2021-07-01 10:20:00+05:30,420.0,420.35,420.0,420.2,112202.0
2021-07-01 10:25:00+05:30,420.2,421.3,419.9,420.3,421691.0
2021-07-01 10:30:00+05:30,420.4,420.45,420.1,420.3,222716.0
2021-07-01 10:35:00+05:30,420.25,420.5,420.15,420.15,145449.0
2021-07-01 10:40:00+05:30,420.3,420.5,420.05,420.35,107880.0
2021-07-01 10:45:00+05:30,420.35,420.5,420.15,420.3,75145.0
2021-07-01 10:50:00+05:30,420.0,420.3,420.0,420.3,330791.0
2021-07-01 10:55:00+05:30,420.3,420.9,420.1,420.5,193770.0
2021-07-01 11:00:00+05:30,420.6,423.3,420.6,423.1,877233.0
2021-07-01 11:05:00+05:30,423.1,423.3,422.15,422.15,273349.0
2021-07-01 11:10:00+05:30,422.2,422.9,421.85,422.2,208082.0
2021-07-01 11:15:00+05:30,422.2,422.7,422.1,422.2,207138.0
2021-07-01 11:20:00+05:30,422.3,422.35,421.9,422.0,182553.0
2021-07-01 11:25:00+05:30,422.0,422.25,422.0,422.05,91837.0
2021-07-01 11:30:00+05:30,422.05,422.2,421.9,422.05,114800.0
2021-07-01 11:35:00+05:30,422.0,422.15,421.85,422.1,95045.0
2021-07-01 11:40:00+05:30,422.05,422.8,421.75,422.6,129138.0
2021-07-01 11:45:00+05:30,422.6,422.7,422.15,422.45,100127.0
2021-07-01 11:50:00+05:30,422.4,422.8,422.3,422.75,86095.0
2021-07-01 11:55:00+05:30,422.7,422.75,422.1,422.15,67337.0
2021-07-01 12:00:00+05:30,422.15,422.6,422.1,422.15,102041.0
2021-07-01 12:05:00+05:30,422.15,422.45,421.9,422.0,126418.0
2021-07-01 12:10:00+05:30,422.0,422.3,421.8,422.0,111656.0
2021-07-01 12:15:00+05:30,422.0,422.5,421.95,422.05,84374.0
2021-07-01 12:20:00+05:30,422.2,422.5,422.0,422.05,56484.0
2021-07-01 12:25:00+05:30,422.05,422.5,422.0,422.45,85512.0
2021-07-01 12:30:00+05:30,422.5,422.6,421.5,422.0,248455.0
2021-07-01 12:35:00+05:30,422.05,423.7,421.7,423.1,525002.0
2021-07-01 12:40:00+05:30,423.1,423.2,422.7,422.8,114585.0
2021-07-01 12:45:00+05:30,422.8,423.05,422.7,422.95,157894.0
2021-07-01 12:50:00+05:30,423.0,423.65,422.5,423.45,243045.0
2021-07-01 12:55:00+05:30,423.45,423.5,423.0,423.05,112295.0
2021-07-01 13:00:00+05:30,423.0,423.1,422.6,422.6,77087.0
2021-07-01 13:05:00+05:30,422.6,422.9,422.55,422.8,67438.0
2021-07-01 13:10:00+05:30,422.85,423.2,422.7,422.85,207387.0
2021-07-01 13:15:00+05:30,422.8,423.1,422.75,422.75,85400.0
2021-07-01 13:20:00+05:30,422.75,423.25,422.4,423.2,140259.0
2021-07-01 13:25:00+05:30,423.2,423.5,422.9,423.2,194670.0
2021-07-01 13:30:00+05:30,423.15,423.45,422.9,423.1,119936.0
2021-07-01 13:35:00+05:30,423.1,423.25,422.7,423.25,84348.0
2021-07-01 13:40:00+05:30,423.2,423.45,422.9,422.9,74564.0
2021-07-01 13:45:00+05:30,422.9,423.0,422.05,422.15,194840.0
2021-07-01 13:50:00+05:30,422.2,422.5,421.7,422.1,247104.0
2021-07-01 13:55:00+05:30,422.1,422.7,422.0,422.5,87786.0
2021-07-01 14:00:00+05:30,422.5,422.65,422.0,422.15,204483.0
2021-07-01 14:05:00+05:30,422.1,423.0,422.0,422.95,156787.0
2021-07-01 14:10:00+05:30,423.0,423.3,422.9,423.05,162633.0
2021-07-01 14:15:00+05:30,423.15,423.15,422.5,422.75,88811.0
2021-07-01 14:20:00+05:30,422.85,423.0,422.3,422.6,119358.0
2021-07-01 14:25:00+05:30,422.65,422.95,422.35,422.6,87272.0
2021-07-01 14:30:00+05:30,422.5,422.8,422.15,422.25,97323.0
2021-07-01 14:35:00+05:30,422.3,422.5,422.0,422.15,258994.0
2021-07-01 14:40:00+05:30,422.05,422.45,421.85,422.15,231519.0
2021-07-01 14:45:00+05:30,422.15,422.15,421.7,421.9,187098.0
2021-07-01 14:50:00+05:30,421.9,421.95,421.15,421.35,172752.0
2021-07-01 14:55:00+05:30,421.4,421.45,420.7,421.1,234979.0
2021-07-01 15:00:00+05:30,421.15,421.25,420.15,420.2,284145.0
2021-07-01 15:05:00+05:30,420.2,420.7,420.15,420.45,271259.0
2021-07-01 15:10:00+05:30,420.45,420.6,420.15,420.3,251910.0
2021-07-01 15:15:00+05:30,420.3,420.5,420.15,420.35,271612.0
2021-07-01 15:20:00+05:30,420.35,420.7,420.15,420.35,314353.0
